index_column,taxumap1,taxumap2
PP122_0,19.01045,-5.702327
PP122_1,17.096756,-4.1954603
PP122_2,17.466013,-2.1014407
PP122_3,17.482948,-2.0941598
PP122_4,17.350185,-2.4367163
PP122_5,17.38682,-2.303327
PP122_6,17.225449,-2.416302
PP122_7,17.277473,-2.0411634
PP122_8,17.311592,-2.086624
PP122_9,17.398197,-2.0904665
PP122_10,17.303839,-2.0661368
PP122_11,17.327026,-1.823372
PP122_12,17.275103,-2.2329435
PP122_13,17.349192,-1.9811019
PP123_-5,17.738451,-4.5069675
PP123_-4,18.506525,-4.674876
PP123_-3,19.935545,-3.100251
PP123_-2,18.611624,-2.0218513
PP123_-1,18.609453,-1.6565161
PP123_0,20.54894,-3.0655181
PP123_1,19.780567,-4.494326
PP123_2,20.114937,-3.56967
PP123_3,18.57488,-1.992412
PP123_4,19.565298,-2.6925454
PP123_5,18.267282,-1.6410898
PP123_6,18.316338,-1.4257388
PP123_7,18.742826,-2.037057
PP123_8,18.793245,-1.0793085
PP123_9,18.799343,-1.1624812
PP123_10,18.742912,-1.5648886
PP123_11,19.062666,-4.6133122
PP123_12,19.605444,-2.4380622
PP123_13,18.775463,-1.2338681
PP123_14,18.856045,-0.6657487
PP123_15,18.876892,-0.5158801
PP123_16,18.737843,-1.2756115
PP123_17,18.698858,-1.9752744
PP123_18,18.70513,-1.9735999
PP123_19,16.133062,-4.666993
PP124_-1,17.02444,-4.077527
PP124_0,15.0007925,-1.4995424
PP124_2,15.788427,-4.840387
PP124_3,20.711895,-3.0288494
PP124_4,18.472185,-4.4515667
PP124_5,18.005701,5.3622866
PP124_6,15.336878,-2.5819721
PP124_7,20.9736,-3.1021218
PP124_8,16.104372,-2.5122101
PP124_9,17.382666,-0.78111666
PP124_10,17.384508,-0.77589005
PP124_11,17.384941,-0.7750075
PP124_12,20.111403,-1.0523721
PP124_13,18.763624,-4.639727
PP124_14,14.744161,-3.596978
PP124_15,19.733574,-1.3437796
PP124_16,17.38869,-0.7695494
PP124_17,18.022509,5.4846234
PP124_18,16.53458,-2.9679656
PP124_19,17.189991,-4.8563695
PP124_20,17.355282,-1.4647424
PP124_21,20.996052,-3.093022
PP124_22,20.990484,-3.0936654
PP124_23,15.969307,-3.4200134
PP125_-7,18.436354,-3.576813
PP125_-6,18.67507,-4.533699
PP125_-5,18.846455,-4.456609
PP125_-4,17.39028,-1.7959996
PP125_-3,20.168694,-3.6821523
PP125_-2,17.26161,-2.6123445
PP125_-1,17.160566,-1.2340685
PP125_0,20.318789,-3.136787
PP125_1,17.384594,-1.8313662
PP125_2,20.397669,-3.2518222
PP125_3,17.576212,-2.2630157
PP125_4,17.562262,-2.0398576
PP125_5,17.452568,-3.987799
PP125_6,19.695597,-3.6658132
PP125_7,19.902699,-3.6804543
PP125_8,18.045778,-4.3291993
PP125_9,19.681213,-4.021865
PP125_10,18.119967,-3.821663
PP125_11,20.470535,-3.454135
PP125_12,18.016485,-3.3433793
PP125_13,18.732172,-4.6360207
PP125_14,18.084846,-4.33939
PP125_15,20.5909,-3.076337
